user_id,prediction
850,608 1219 3471 1196 858 919 1136 296 1394 1387 1079 2174 1214 1270 923 1278 1198 1097 1247 260 1265 1617 924 1221 2797
2012,1196 592 1580 1377 2011 1270 1291 2571 1198 780 2640 1240 2406 480 2174 2797 2916 2115 2000 1036 2470 367 2012 2054 2716
1511,1196 858 1198 260 919 1214 1221 1240 1387 912 924 608 3471 1270 1304 1208 1294 1097 1225 750 541 1617 1210 1036 1136
5846,608 858 912 919 260 2858 923 1196 593 1193 296 1617 1219 318 1136 1221 111 1252 1247 1198 527 541 1213 924 50
4344,1196 1270 608 2797 2174 1198 3471 1240 296 592 1097 1079 1265 1214 1036 2640 1220 260 2716 3448 2100 2194 1387 457 1200
5570,1196 1198 1580 1240 1036 592 2571 457 1291 2916 260 1270 480 589 1610 1210 2640 377 1197 1265 2000 2406 1097 2797 2174
2507,608 1196 296 1265 2797 1270 1198 1097 2174 1079 2100 919 260 3471 3448 593 1136 1307 858 1394 592 1617 457 2716 2918
5903,2571 1580 480 589 457 2916 1196 780 1610 260 377 1210 2028 2628 1527 1240 1198 110 1 1265 1036 380 1270 733 1291
554,2762 2858 2959 2716 3578 223 2706 593 2683 2997 2396 3176 2987 296 608 2571 2599 2028 2700 1196 318 1265 3160 589 110
202,1196 1580 457 592 2571 377 1270 1036 1265 1198 2716 356 480 2916 2797 1291 589 1610 780 1377 296 2000 380 733 1240
4387,1196 2797 1270 1097 1265 2174 2100 592 1580 2716 1198 2987 1073 1968 2406 3448 1291 260 2640 1307 1197 2918 919 457 1240
1820,1196 1240 2916 589 2571 1036 1270 1214 1580 1198 1200 260 457 2716 480 1387 296 2985 1210 592 608 2000 3471 2640 1610
5082,608 1136 1247 923 1265 1079 1196 919 1288 1294 1394 1225 858 3471 296 912 1208 1270 1080 1617 1198 2174 924 2797 2997
3827,2916 457 2571 377 780 1610 1580 480 589 1370 648 733 1196 1036 1527 1240 380 1573 2028 110 592 296 3256 260 1198
5854,780 2916 1580 377 2571 480 1377 1527 589 1676 457 2617 1573 1391 1370 733 1320 1240 380 316 1196 592 1610 736 1917
38,1393 39 357 539 587 2396 1265 597 356 1569 2671 1704 1721 377 1777 1307 708 2424 3255 1784 588 2291 11 339 364
